Fecha,IDEAM_complet
2016-11-13,24.0
2016-11-20,156.0
2016-11-27,65.0
2016-12-04,66.0
2016-12-11,66.0
2016-12-18,64.0
2016-12-25,64.0
2017-01-01,65.0
2017-01-08,65.0
2017-01-15,64.0
2017-01-22,63.0
2017-01-29,85.0
2017-02-05,72.0
2017-02-12,54.0
2017-02-19,34.0
2017-02-26,31.0
2017-03-05,58.0
2017-03-12,84.0
2017-03-19,12.0
2017-03-26,68.0
2017-04-02,23.0
2017-04-09,63.0
2017-04-16,27.0
2017-04-23,154.0
2017-04-30,271.0
2017-05-07,148.0
2017-05-14,38.0
2017-05-21,1.0
2017-05-28,175.0
2017-06-04,26.0
2017-06-11,119.0
2017-06-18,0.0
2017-06-25,63.0
2017-07-02,63.0
2017-07-09,63.0
2017-07-16,63.0
2017-07-23,63.0
2017-07-30,63.0
2017-08-06,63.0
2017-08-13,63.0
2017-08-20,63.0
2017-08-27,63.0
2017-09-03,63.0
2017-09-10,63.0
2017-09-17,63.0
2017-09-24,63.0
2017-10-01,63.0
2017-10-08,63.0
2017-10-15,63.0
2017-10-22,63.0
2017-10-29,63.0
2017-11-05,63.0
2017-11-12,63.0
2017-11-19,63.0
2017-11-26,63.0
2017-12-03,64.0
2017-12-10,63.0
2017-12-17,65.0
2017-12-24,65.0
2017-12-31,59.0
2018-01-07,47.0
2018-01-14,28.0
2018-01-21,23.0
2018-01-28,28.0
2018-02-04,61.0
2018-02-11,25.0
2018-02-18,26.0
2018-02-25,36.0
2018-03-04,23.0
2018-03-11,22.0
2018-03-18,43.0
2018-03-25,25.0
2018-04-01,28.0
2018-04-08,25.0
2018-04-15,0.0
2018-04-22,23.0
2018-04-29,31.0
2018-05-06,47.0
2018-05-13,43.0
2018-05-20,36.0
2018-05-27,23.0
2018-06-03,22.0
2018-06-10,22.0
2018-06-17,23.0
2018-06-24,51.0
2018-07-01,0.0
2018-07-08,23.0
2018-07-15,28.0
2018-07-22,24.0
2018-07-29,1.0
2018-08-05,30.0
2018-08-12,18.0
2018-08-19,7.0
2018-08-26,8.0
2018-09-02,0.0
2018-09-09,3.0
2018-09-16,23.0
2018-09-23,2.0
2018-09-30,3.0
2018-10-07,29.0
2018-10-14,12.0
2018-10-21,10.0
2018-10-28,75.0
2018-11-04,19.0
2018-11-11,18.0
2018-11-18,275.0
2018-11-25,128.0
2018-12-02,220.0
2018-12-09,109.0
2018-12-16,142.0
2018-12-23,44.0
2018-12-30,28.0
2019-01-06,35.0
2019-01-13,37.0
2019-01-20,87.0
2019-01-27,8.0
2019-02-03,87.0
2019-02-10,177.0
2019-02-17,24.0
2019-02-24,78.0
2019-03-03,46.0
2019-03-10,71.0
2019-03-17,185.0
2019-03-24,107.0
2019-03-31,49.0
2019-04-07,42.0
2019-04-14,162.0
2019-04-21,145.0
2019-04-28,63.0
2019-05-05,63.0
2019-05-12,63.0
2019-05-19,63.0
2019-05-26,63.0
2019-06-02,63.0
2019-06-09,63.0
2019-06-16,63.0
2019-06-23,66.0
2019-06-30,62.0
2019-07-07,66.0
2019-07-14,66.0
2019-07-21,66.0
2019-07-28,63.0
2019-08-04,62.0
2019-08-11,60.0
2019-08-18,63.0
2019-08-25,65.0
2019-09-01,65.0
2019-09-08,64.0
2019-09-15,58.0
2019-09-22,4.0
2019-09-29,8.0
2019-10-06,16.0
2019-10-13,12.0
2019-10-20,104.0
2019-10-27,102.0
2019-11-03,114.0
2019-11-10,141.0
2019-11-17,36.0
2019-11-24,31.0
2019-12-01,82.0
2019-12-08,2.0
2019-12-15,63.0
2019-12-22,63.0
2019-12-29,63.0
2020-01-05,8.0
2020-01-12,72.0
2020-01-19,79.0
2020-01-26,150.0
2020-02-02,7.0
2020-02-09,36.0
2020-02-16,27.0
2020-02-23,19.0
2020-03-01,25.0
2020-03-08,160.0
2020-03-15,71.0
2020-03-22,3.0
2020-03-29,63.0
2020-04-05,0.0
2020-04-12,63.0
2020-04-19,13.0
2020-04-26,63.0
2020-05-03,63.0
2020-05-10,63.0
2020-05-17,63.0
2020-05-24,63.0
2020-05-31,63.0
2020-06-07,63.0
2020-06-14,63.0
2020-06-21,63.0
2020-06-28,63.0
2020-07-05,63.0
2020-07-12,63.0
2020-07-19,63.0
2020-07-26,63.0
2020-08-02,63.0
2020-08-09,63.0
2020-08-16,63.0
2020-08-23,63.0
2020-08-30,63.0
2020-09-06,63.0
2020-09-13,63.0
2020-09-20,63.0
2020-09-27,63.0
2020-10-04,63.0
2020-10-11,63.0
2020-10-18,63.0
2020-10-25,63.0
2020-11-01,63.0
2020-11-08,63.0
2020-11-15,59.0
2020-11-22,67.0
2020-11-29,62.0
2020-12-06,49.0
2020-12-13,65.0
2020-12-20,66.0
2020-12-27,64.0
2021-01-03,61.0
2021-01-10,65.0
2021-01-17,63.0
2021-01-24,63.0
2021-01-31,64.0
2021-02-07,63.0
2021-02-14,65.0
2021-02-21,66.0
2021-02-28,65.0
